"";"rp.object@id";"score";"percentile"
"1";153;0,0385046684194194;56
"2";182;0,0386295079973241;57
"3";198;0,0533603470107301;74
"4";199;0,00913245758073344;0
"5";205;0,0287296597258283;39
"6";206;0,0276308108664431;37
"7";213;0,0159961685823755;13
"8";218;0,0213921830971639;26
"9";219;0,0444925683441009;65
"10";220;0,445216275679457;97
"11";224;0,0689331432259968;84
"12";227;0,0877691760295678;90
"13";230;0,193303786539759;96
"14";233;0,0126765188834154;4
"15";235;0,0599739155571042;79
"16";238;0,0271162555338801;36
"17";243;0,0625285115887315;80
"18";245;0,0308406819517931;43
"19";246;0,0394831289754661;58
"20";247;0,0671488972817892;83
"21";248;0,0440598185339565;64
"22";255;0,146451706017509;96
"23";256;0,0216959091001237;26
"24";257;0,0451054357165468;66
"25";259;0,116202486781239;95
"26";266;0,0194751059214661;21
"27";268;0,0330730234360503;46
"28";270;0,0641268403350279;82
"29";271;0,0152818828680898;11
"30";272;0,026299691864826;34
"31";280;0,0436773071543186;64
"32";281;0,0571919709244797;77
"33";284;0,0440787475615062;65
"34";285;0,0276170765519425;37
"35";286;0,0742678373985637;86
"36";287;0,0270862045574689;36
"37";288;0,0480158784737329;69
"38";289;0,0229830322933771;28
"39";291;0,0467104398723173;68
"40";293;0,0281590014923348;38
"41";294;0,0153338806787083;12
"42";296;0,0147067141032658;10
"43";297;0,0404574973061563;60
"44";298;0,027084017515052;35
"45";299;0,0454722959033304;67
"46";301;0,0264226527693961;35
"47";305;0,0434404921742087;63
"48";306;0,0292646391496966;40
"49";308;0,0326535659724065;45
"50";309;0,0113816416306838;2
"51";311;0,0306526134572112;43
"52";312;0,0409765058625212;60
"53";320;0,0383179772547589;56
"54";322;0,0338330448464548;48
"55";323;0,0465966455034837;68
"56";324;0,0429260732881423;63
"57";325;0,0249349399713384;32
"58";326;0,0569938486020862;77
"59";327;0,0258725597518701;34
"60";330;0,0425947539651937;62
"61";332;0,0323085811591559;44
"62";336;0,0170613128180178;15
"63";339;0,0544591030864977;75
"64";341;0,0473245259069014;69
"65";342;0,0196264874617365;22
"66";346;0,0586806973851785;78
"67";348;0,0166561758803138;15
"68";349;0,0707174333400387;84
"69";356;0,0184231891990513;19
"70";358;0,0436095509428843;64
"71";361;0,0428767131832266;63
"72";362;0,0413542798197971;61
"73";366;0,0278155929496926;37
"74";368;0,0803399735070983;88
"75";369;0,0221747934200041;27
"76";372;0,0233289241622575;28
"77";375;0,0417224280615085;62
"78";377;0,0592350880775002;79
"79";383;0,0281661450512025;39
"80";384;0,0201513386570858;22
"81";385;0,0632525161334923;82
"82";388;1;99
"83";389;0,112550516740485;95
"84";394;0,0301142486008386;41
"85";395;0,0411849224282174;61
"86";396;0,0334056138393969;47
"87";401;0,0392636229368696;58
"88";402;0,0591202654444783;79
"89";408;0,0371920753434163;54
"90";409;0,0358056113036956;52
"91";412;0,0187137890490381;19
"92";415;0,0454644537384001;66
"93";416;0,0923892940617911;92
"94";418;0,0491720442180212;71
"95";421;0,0161506494073544;13
"96";426;0,0198077250548515;22
"97";428;0,0111881955847473;2
"98";429;0,0186407589855866;19
"99";432;1;99
"100";434;0,0169740923189199;15
"101";436;0,0799231019333885;88
"102";439;0,0416255394136037;62
"103";443;0,0175360335705163;16
"104";449;0,0453756773593938;66
"105";451;0,0249070966992423;32
